id,text (russian),text (czech),text (polish),auto translate (russian),auto translate (czech),auto translate (polish),Final English Translation
STR_RUSSIAN,,,,,,,Russian
STR_ENGLISH,,,,,,,English
STR_POLISH,,,,,,,Polish
STR_CZECH,,,,,,,Czech
STR_LEVEL,,,,,,,Level
STR_PRC_PROCEED,,,,,,,Continue
STR_SELECT,,,,,,,CHOOSE!
STR_THEORY,,,,,,,THEORY
STR_PRACTICE,,,,,,,PRACTICE
STR_CORRECT,,,,,,,Correct!
STR_UNCORRECT,,,,,,,Incorrect!
STR_WIN,,,,,,,You win!
STR_LOOSE,,,,,,,You lose!
STR_WIN_LVL,,,,,,,LEVEL COMPLETE!
STR_LOST_LVL,,,,,,,TRY AGAIN!
STR_YES,,,,,,,YES
STR_NO,,,,,,,NO
STR_PLAYER,,,,,,,Player
STR_FROM,,,,,,,of 
STR_KG,,,,,,,kg
STR_DEBUG_MAIN,,,,,,,MAIN MENU
STR_DEBUG_CHOOSE_LVL,,,,,,,Select level:
STR_DEBUG_CHAPTER_1,,,,,,,Chapter 1
STR_DEBUG_CHAPTER_2,,,,,,,Chapter 2
STR_DEBUG_CHAPTER_3,,,,,,,Chapter 3
STR_DEBUG_THEORY,,,,,,,THEORY
STR_DEBUG_PRACTICE,,,,,,,PRACTICE
STR_DEBUG_MG_1,,,,,,,MI_1
STR_DEBUG_BMG_1,,,,,,,BMI_1
STR_DEBUG_EDITOR,,,,,,,EDITOR
STR_DEBUG_MG_2,,,,,,,MI_2
STR_DEBUG_BMG_2,,,,,,,BMI_2
STR_DEBUG_MG_3_1,,,,,,,#VALUE!
STR_DEBUG_MG_3_2,,,,,,,#VALUE!
STR_DEBUG_BMG_3,,,,,,,#VALUE!
STR_EXIT_CONFR,,,,,,,Are you sure you want to quit?
STR_PLAYER_CONFR,,,,,,,Now playing
STR_PLAYER_TITLE,,,,,,,Choose a character!
STR_400_COMPLETE,,,,,,,Complete!
STR_400_TOPSECRET,,,,,,,Top secret
STR_400_MISSION_COMPLETE,,,,,,,Mission complete!
STR_400_OPEN_1,,,,,,,Chapter one available!
STR_400_OPEN_2,,,,,,,Chapter two available!
STR_400_OPEN_3,,,,,,,Chapter 3 available!
STR_400_CREDITS,,,,,,,Credits
STR_400_MISSION_OPEN,,,,,,,Secret mission available
STR_400_MISSION_PASS,,,,,,,Secret mission complete
STR_400_FROM_START,,,,,,,The game will start from the beginning.
STR_400_START_PHINEAS,,,,,,,We decided to build the world's coolest rollercoaster! Join us!
STR_400_START_PHINEAS_ADD,,,,,,,"If you want to play, let me know. But first, talk to Ferb for the theoretical training."
STR_400_START_FERB,,,,,,,Yeah.
STR_400_WAIT_01,,,,,,,"If you want to play, let me know!"
STR_400_WAIT_02,,,,,,,"If you need to learn the theory, you should go talk to Ferb!"
STR_400_WAIT_03,,,,,,,"Try to teach Perry a trick. Platypuses are known for their laziness, but you might just succeed!"
STR_400_UNCORR_PHINEAS_01,,,,,,,Nope.
STR_400_UNCORR_PHINEAS_02,,,,,,,No way.
STR_400_UNCORR_FERB_01,,,,,,,No.
STR_400_UNCORR_FERB_02,,,,,,,That won't work.
STR_400_WAIT_PHINEAS_01,,,,,,,"We're still a long way from that. First, let's focus on the basics."
STR_400_WAIT_PHINEAS_02,,,,,,,You need to know the theory first. Ferb will help you.
STR_400_WAIT_FERB_01,,,,,,,We aren't ready for this yet.
STR_400_WAIT_PERRY_01,,,,,,,"This mission is in the planning stage. It's still top-secret. Be patient, Agent P."
STR_400_WAIT_PERRY_02,,,,,,,"You'll need a secret gadger for this mission. Look for the missing parts, Agent P."
STR_400_ADD_PERRY_01,,,,,,,"Received a new part. Congratulations, Agent P."
STR_400_ADD_PERRY_02,,,,,,,"Obtained new parts. Way to go, Agent P."
STR_400_NEW_PERRY,,,,,,,"Mission unlocked. Go complete it immediately, Agent P."
STR_400_NEW_PHINEAS,,,,,,,"New game unlocked. If you want to play, talk to me, Phineas."
STR_400_NEW_FERB,,,,,,,"A new theory course is unlocked. If you want to start, talk to me, Ferb."
STR_400_SUBTITLES_OFF,,,,,,,Subtitles off.
STR_400_SUBTITLES_ON,,,,,,,Subtitles on.
STR_400_VOLUME_UP,,,,,,,Louder.
STR_400_VOLUME_DOWN,,,,,,,Quieter.
STR_400_HELP_TRAINING,,,,,,,"Talk to me, Ferb, if you want to take a theory course. It will help you unlock new games and secret missions."
STR_400_HELP_GAME,,,,,,,Let me know if you want to play.
STR_400_HELP_BONUS,,,,,,,Agent P is working undercover as a mindless pet. Click on him to open the secret mission journal.
STR_400_HELP_SETTINGS,,,,,,,"Click on the speakers to adjust the volume, and turn on or off subtitles."
STR_400_WANT_CHANGE,,,,,,,Do you want to change the player?
STR_400_WANT_QUIT,,,,,,,Are you sure you want to quit?
STR_400_NEW_PLAYER,,,,,,,"Hooray, we have a new player! Hi there!"
STR_400_CONF_YES,,,,,,,Yes.
STR_400_CONF_NO,,,,,,,No.
STR_400_PLAYER_HI,,,,,,,"Hi! Quick, enter your name and let's play!"
STR_CONTEXT_HELP,,,,,,,Help
STR_CONTEXT_CONTINUE_GAME,,,,,,,Continue game
STR_CONTEXT_CONTINUE_BONUS,,,,,,,Continue mission
STR_CONTEXT_MENU,,,,,,,Back to yard
STR_CONTEXT_EXIT,,,,,,,Quit the game
STR_CONTEXT_AGAIN,,,,,,,Try again!
STR_CONTEXT_REPEATE,,,,,,,Repeat task
STR_CONTEXT_CONTINUE_PRC,,,,,,,Continue
STR_CONTEXT_SKIP,,,,,,,Skip this question
STR_CONTEXT_END,,,,,,,Finish training
STR_401_SUBTITLES,,,,,,,SUBTITLES
STR_403_CHAPTER_1,,,,,,,SIZE THEORY FOR INVENTORS
STR_403_CHAPTER_2,,,,,,,WEIGHT AND TEMPERATURE CRASH COURSE
STR_403_CHAPTER_3,,,,,,,"ADDITION, SUBTRACTION, AND OTHER MATH"
STR_404_WELLCOME,,,,,,,Welcome!
STR_404_PLAYER,,,,,,,Player
STR_404_PROGRESS,,,,,,,PROGRESS
STR_404_CHAPTER_1,,,,,,,Chapter 1
STR_404_CHAPTER_2,,,,,,,Chapter 2
STR_404_CHAPTER_3,,,,,,,Chapter 3
STR_404_CHANGE,,,,,,,CHANGE PLAYER
STR_404_COMPLETE,,,,,,,Complete
STR_404_PLAY,,,,,,,PLAY
STR_404_QUIT,,,,,,,QUIT GAME
STR_405_TITLE,,,,,,,CREDITS
STR_406_TITLE,,,,,,,SECRET MISSION JOURNAL
STR_406_PARTS,,,,,,,DETAILS
STR_406_NEEDFOR,,,,,,,You need to complete a secret mission
STR_406_TABTITLE_1,,,,,,,HOVERCRAFT
STR_406_OBJTITLE_1,,,,,,,Invisibility cloak
STR_406_PART_1_1,,,,,,,GPU
STR_406_PART_1_2,,,,,,,Cryogenics chamber
STR_406_PART_1_3,,,,,,,2 Mirrors
STR_406_PART_1_4,,,,,,,2 Fiber optics cables
STR_406_TABTITLE_2,,,,,,,IRON GRIP
STR_406_OBJTITLE_2,,,,,,,Spy scanner
STR_406_PART_2_1,,,,,,,Miniature camera
STR_406_PART_2_2,,,,,,,Satellite dish
STR_406_PART_2_3,,,,,,,Air pollution sensor
STR_406_PART_2_4,,,,,,,2 Batteries
STR_406_PART_2_5,,,,,,,Screen
STR_406_TABTITLE_3,,,,,,,MAGNETIC STORY
STR_406_OBJTITLE_3,,,,,,,Jetpack
STR_406_PART_3_1,,,,,,,Fuel tank
STR_406_PART_3_2,,,,,,,Fuel hose
STR_406_PART_3_3,,,,,,,2 Nozzles
STR_406_PART_3_4,,,,,,,Panel
STR_406_PART_3_5,,,,,,,Regulator
